,recall,precision,fscore,tp,fp,fn
0,1.0,0.12121212121212122,0.40816326530612246,4.0,29.0,0.0
1,0.0,0.0,0.0,0.0,32.0,1.0
2,1.0,0.2,0.5555555555555556,5.0,20.0,0.0
3,1.0,0.030303030303030304,0.13513513513513514,1.0,32.0,0.0
4,1.0,0.05714285714285714,0.23255813953488372,2.0,33.0,0.0
5,1.0,0.09523809523809523,0.3448275862068966,2.0,19.0,0.0
6,1.0,0.038461538461538464,0.16666666666666666,1.0,25.0,0.0
7,0.0,0.0,0.0,0.0,23.0,1.0
8,1.0,0.06451612903225806,0.2564102564102564,2.0,29.0,0.0
9,1.0,0.13333333333333333,0.43478260869565216,4.0,26.0,0.0
10,0.0,0.0,0.0,0.0,30.0,1.0
11,1.0,0.05263157894736842,0.21739130434782608,2.0,36.0,0.0
12,0.0,0.0,0.0,0.0,23.0,1.0
13,0.0,0.0,0.0,0.0,27.0,1.0
14,1.0,0.03125,0.1388888888888889,1.0,31.0,0.0
15,1.0,0.06666666666666667,0.2631578947368421,2.0,28.0,0.0
16,0.0,0.0,0.0,0.0,24.0,1.0
17,1.0,0.06451612903225806,0.2564102564102564,2.0,29.0,0.0
18,1.0,0.03571428571428571,0.15625,1.0,27.0,0.0
19,1.0,0.13793103448275862,0.4444444444444444,4.0,25.0,0.0
20,0.0,0.0,0.0,0.0,29.0,1.0
21,1.0,0.08333333333333333,0.3125,3.0,33.0,0.0
22,1.0,0.05714285714285714,0.23255813953488372,2.0,33.0,0.0
23,1.0,0.05714285714285714,0.23255813953488372,2.0,33.0,0.0
24,1.0,0.027777777777777776,0.125,1.0,35.0,0.0
25,1.0,0.03125,0.1388888888888889,1.0,31.0,0.0
26,1.0,0.034482758620689655,0.15151515151515152,1.0,28.0,0.0
27,1.0,0.03225806451612903,0.14285714285714285,1.0,30.0,0.0
28,1.0,0.06451612903225806,0.2564102564102564,2.0,29.0,0.0
29,1.0,0.05714285714285714,0.23255813953488372,2.0,33.0,0.0
