,recall,precision,fscore,tp,fp,fn
australia,1.0,0.07142857142857142,0.2777777777777778,2.0,26.0,0.0
austria,1.0,0.03571428571428571,0.15625,1.0,27.0,0.0
belgium,1.0,0.043478260869565216,0.18518518518518517,1.0,22.0,0.0
canada,1.0,0.10714285714285714,0.375,3.0,25.0,0.0
denmark,0.5,0.1,0.2777777777777778,1.0,9.0,1.0
finland,1.0,0.2222222222222222,0.5882352941176471,6.0,21.0,0.0
france,1.0,0.11764705882352941,0.4,2.0,15.0,0.0
germany,0.75,0.2,0.4838709677419355,3.0,12.0,1.0
greece,1.0,0.14285714285714285,0.45454545454545453,3.0,18.0,0.0
iceland,1.0,0.24,0.6122448979591837,6.0,19.0,0.0
ireland,1.0,0.06666666666666667,0.2631578947368421,2.0,28.0,0.0
italy,0.5,0.06666666666666667,0.21739130434782608,1.0,14.0,1.0
japan,1.0,0.15384615384615385,0.47619047619047616,4.0,22.0,0.0
netherlands,1.0,0.1111111111111111,0.38461538461538464,2.0,16.0,0.0
new-zealand,1.0,0.34782608695652173,0.7272727272727273,8.0,15.0,0.0
norway,1.0,0.20833333333333334,0.5681818181818182,5.0,19.0,0.0
portugal,1.0,0.045454545454545456,0.19230769230769232,1.0,21.0,0.0
spain,0.0,0.0,0.0,0.0,16.0,2.0
sweden,1.0,0.13333333333333333,0.43478260869565216,4.0,26.0,0.0
switzerland,1.0,0.07692307692307693,0.29411764705882354,2.0,24.0,0.0
turkey,0.5714285714285714,0.2857142857142857,0.47619047619047616,4.0,10.0,3.0
united-kingdom,0.8888888888888888,0.42105263157894735,0.7272727272727273,8.0,11.0,1.0
united-states,1.0,0.42857142857142855,0.7894736842105263,6.0,8.0,0.0
aggregate,0.8928571428571429,0.15030060120240482,0.4491017964071856,75.0,424.0,9.0
