,recall,precision,fscore,tp,fp,fn
australia,1.0,0.034482758620689655,0.15151515151515152,1.0,28.0,0.0
austria,1.0,0.03571428571428571,0.15625,1.0,27.0,0.0
belgium,1.0,0.21428571428571427,0.5769230769230769,6.0,22.0,0.0
canada,1.0,0.03333333333333333,0.14705882352941177,1.0,29.0,0.0
denmark,1.0,0.25925925925925924,0.6363636363636364,7.0,20.0,0.0
finland,1.0,0.2222222222222222,0.5882352941176471,6.0,21.0,0.0
france,0.8571428571428571,0.4,0.6976744186046512,6.0,9.0,1.0
germany,0.7142857142857143,0.45454545454545453,0.6410256410256411,5.0,6.0,2.0
greece,1.0,0.045454545454545456,0.19230769230769232,1.0,21.0,0.0
iceland,1.0,0.12903225806451613,0.425531914893617,4.0,27.0,0.0
ireland,1.0,0.17647058823529413,0.5172413793103449,6.0,28.0,0.0
italy,0.5,0.047619047619047616,0.1724137931034483,1.0,20.0,1.0
japan,0.75,0.15789473684210525,0.42857142857142855,3.0,16.0,1.0
luxembourg,1.0,0.2608695652173913,0.6382978723404256,6.0,17.0,0.0
netherlands,1.0,0.23809523809523808,0.6097560975609756,5.0,16.0,0.0
new-zealand,1.0,0.24,0.6122448979591837,6.0,19.0,0.0
norway,1.0,0.2,0.5555555555555556,5.0,20.0,0.0
portugal,1.0,0.09090909090909091,0.3333333333333333,2.0,20.0,0.0
spain,1.0,0.05263157894736842,0.21739130434782608,1.0,18.0,0.0
sweden,1.0,0.1724137931034483,0.5102040816326531,5.0,24.0,0.0
switzerland,1.0,0.25925925925925924,0.6363636363636364,7.0,20.0,0.0
turkey,1.0,0.21428571428571427,0.5769230769230769,3.0,11.0,0.0
united-kingdom,1.0,0.18181818181818182,0.5263157894736842,4.0,18.0,0.0
united-states,0.9166666666666666,0.6470588235294118,0.8461538461538461,11.0,6.0,1.0
aggregate,0.944954128440367,0.18197879858657243,0.5139720558882236,103.0,463.0,6.0
