,recall,precision,fscore,tp,fp,fn
australia,1.0,0.14814814814814814,0.46511627906976744,4.0,23.0,0.0
austria,1.0,0.03571428571428571,0.15625,1.0,27.0,0.0
belgium,1.0,0.045454545454545456,0.19230769230769232,1.0,21.0,0.0
canada,1.0,0.08333333333333333,0.3125,3.0,33.0,0.0
denmark,0.5,0.07692307692307693,0.23809523809523808,1.0,12.0,1.0
finland,1.0,0.12,0.40540540540540543,3.0,22.0,0.0
france,1.0,0.18518518518518517,0.5319148936170213,5.0,22.0,0.0
germany,0.5,0.043478260869565216,0.16129032258064516,1.0,22.0,1.0
greece,1.0,0.2,0.5555555555555556,3.0,12.0,0.0
iceland,0.8,0.17391304347826086,0.46511627906976744,4.0,19.0,1.0
ireland,1.0,0.1111111111111111,0.38461538461538464,4.0,32.0,0.0
italy,0.5,0.06666666666666667,0.21739130434782608,1.0,14.0,1.0
japan,1.0,0.14814814814814814,0.46511627906976744,4.0,23.0,0.0
netherlands,1.0,0.10526315789473684,0.37037037037037035,2.0,17.0,0.0
new-zealand,1.0,0.3333333333333333,0.7142857142857143,8.0,16.0,0.0
norway,1.0,0.2222222222222222,0.5882352941176471,6.0,21.0,0.0
portugal,1.0,0.047619047619047616,0.2,1.0,20.0,0.0
spain,0.75,0.15,0.4166666666666667,3.0,17.0,1.0
sweden,1.0,0.15384615384615385,0.47619047619047616,4.0,22.0,0.0
switzerland,1.0,0.041666666666666664,0.17857142857142858,1.0,23.0,0.0
turkey,0.7142857142857143,0.3125,0.5681818181818182,5.0,11.0,2.0
united-kingdom,0.8888888888888888,0.4,0.7142857142857143,8.0,12.0,1.0
united-states,1.0,0.5384615384615384,0.8536585365853658,7.0,6.0,0.0
aggregate,0.9090909090909091,0.15180265654648956,0.4550625711035267,80.0,447.0,8.0
